a,b,af,bf,as,bs,afs,bfs,pressure,alpha_endo,alpha_epi,Vol,Apex_Twist,C11,L11,R11
4.480859375,2.304296875,5.880078125,0.749609375,1.682421875,7.590234375,5.413671875,4.014453125,10.703125,-13.359375,51.328125,92.9442702498814,-7.64076261782427,-0.114802012592299,-0.0719615731598959,0.256253635688375
9.455859375,7.279296875,0.905078125,5.724609375,6.657421875,2.615234375,0.438671875,8.989453125,23.703125,-58.359375,6.328125,96.7214723558008,1.37851167898341,-0.145748949409461,-0.030029123190286,0.245744270348302
0.438671875,1.371484375,9.300390625,3.548046875,5.102734375,4.791796875,1.371484375,1.216015625,21.265625,-61.171875,54.140625,140.611261758034,14.8921489478179,-0.203082046192169,-0.193669237627314,0.747112250371324
5.413671875,6.346484375,4.325390625,8.523046875,0.127734375,9.766796875,6.346484375,6.191015625,8.265625,-16.171875,9.140625,82.7640666238165,2.05291197825949,-0.0796652445034947,-0.0443204225763852,0.149260172136837
2.926171875,8.833984375,6.812890625,6.035546875,7.590234375,7.279296875,3.858984375,8.678515625,14.765625,-83.671875,31.640625,98.7737049523126,6.77760559152656,-0.141779549686632,-0.0586328679246719,0.281224138527696
7.901171875,3.858984375,1.837890625,1.060546875,2.615234375,2.304296875,8.833984375,3.703515625,27.765625,-38.671875,76.640625,111.921298147622,-0.769842816394621,-0.18463832460043,-0.0574594096554573,0.385649704546339
1.682421875,5.102734375,0.594140625,7.279296875,1.371484375,3.548046875,2.615234375,4.947265625,11.515625,-4.921875,20.390625,115.496673062096,-1.52190456482856,-0.173777426491508,-0.106524879282455,0.461819426878799
6.657421875,0.127734375,5.569140625,2.304296875,6.346484375,8.523046875,7.590234375,9.922265625,24.515625,-49.921875,65.390625,127.125691841841,2.10971409570374,-0.200835701217485,-0.132301355202781,0.611674778103206
4.169921875,2.615234375,3.081640625,4.791796875,3.858984375,6.035546875,0.127734375,7.434765625,18.015625,-27.421875,87.890625,112.043457086485,-3.29743791754125,-0.169622235800135,-0.0951540250999203,0.422559024352179
9.144921875,7.590234375,8.056640625,9.766796875,8.833984375,1.060546875,5.102734375,2.459765625,5.015625,-72.421875,42.890625,73.3283834644476,0.74660098025254,-0.0426223695805928,-0.0089435106417391,0.0557058016708914
1.060546875,8.212109375,3.703515625,0.438671875,6.968359375,4.169921875,3.237109375,5.569140625,16.390625,-10.546875,48.515625,115.858038643816,-10.4058911201475,-0.175617757082763,-0.105448918367894,0.471033607757463
6.035546875,3.237109375,8.678515625,5.413671875,1.993359375,9.144921875,8.212109375,0.594140625,29.390625,-55.546875,3.515625,116.015776963088,18.746952366263,-0.183352320698072,-0.0973178608897998,0.445003126065091
3.548046875,0.749609375,1.216015625,7.901171875,9.455859375,6.657421875,0.749609375,3.081640625,22.890625,-33.046875,26.015625,154.887096553323,22.5031829262917,-0.217320064253337,-0.220712282741984,0.956557372673782
8.523046875,5.724609375,6.191015625,2.926171875,4.480859375,1.682421875,5.724609375,8.056640625,9.890625,-78.046875,71.015625,81.7481521405603,0.300708786315413,-0.0877442663869579,-0.0163191325852811,0.125045113290572
2.304296875,4.480859375,7.434765625,9.144921875,0.749609375,2.926171875,1.993359375,9.300390625,19.640625,-66.796875,14.765625,116.939234752245,21.286399712974,-0.175891339890168,-0.118713199569449,0.47286496726363
7.279296875,9.455859375,2.459765625,4.169921875,5.724609375,7.901171875,6.968359375,4.325390625,6.640625,-21.796875,59.765625,78.6648101973052,-1.08938675150457,-0.0710403436028793,-0.0151513628412629,0.0998778889976214
4.791796875,6.968359375,9.922265625,1.682421875,3.237109375,5.413671875,4.480859375,1.837890625,13.140625,-89.296875,82.265625,90.8190598121183,0.597785990934682,-0.12352172088137,-0.0313309322603497,0.20501590436383
9.766796875,1.993359375,4.947265625,6.657421875,8.212109375,0.438671875,9.455859375,6.812890625,26.140625,-44.296875,37.265625,103.165798317684,3.76717048200726,-0.152252560093807,-0.0763882150015152,0.337773088607878
0.283203125,4.014453125,4.480859375,8.056640625,2.148828125,8.678515625,4.014453125,6.968359375,10.296875,-56.953125,61.171875,114.433545553024,6.47973516266475,-0.158232688765786,-0.143561393627467,0.505582826080824
5.258203125,8.989453125,9.455859375,3.081640625,7.123828125,3.703515625,8.989453125,1.993359375,23.296875,-11.953125,16.171875,94.3027530752185,0.0781146668259868,-0.112335006890785,-0.0843328480638944,0.270439108892932
2.770703125,6.501953125,1.993359375,0.594140625,4.636328125,1.216015625,1.526953125,4.480859375,29.796875,-79.453125,38.671875,123.821659797765,2.25623363127464,-0.208643591636786,-0.0728987858999147,0.491403270735123
7.745703125,1.526953125,6.968359375,5.569140625,9.611328125,6.191015625,6.501953125,9.455859375,16.796875,-34.453125,83.671875,92.664208029126,-2.45041198292631,-0.12142858034795,-0.0531529243133705,0.234840194635297
1.526953125,7.745703125,5.724609375,1.837890625,5.880078125,9.922265625,0.283203125,8.212109375,26.546875,-0.703125,4.921875,116.730974278853,-1.30647511915502,-0.163771797795924,-0.132984252369714,0.500461663741435
6.501953125,2.770703125,0.749609375,6.812890625,0.905078125,4.947265625,5.258203125,3.237109375,13.546875,-45.703125,49.921875,101.010798542443,0.649562026868454,-0.156689826573983,-0.0434930866005491,0.290297531754433
4.014453125,0.283203125,8.212109375,9.300390625,8.367578125,2.459765625,2.770703125,0.749609375,7.046875,-23.203125,72.421875,82.0754010232791,-5.46306844451093,-0.0730876259853074,-0.0491326923447951,0.148211094081654
8.989453125,5.258203125,3.237109375,4.325390625,3.392578125,7.434765625,7.745703125,5.724609375,20.046875,-68.203125,27.421875,95.7571567300134,2.60631078759424,-0.140164952732727,-0.0366763222495778,0.243940195517506
0.905078125,5.880078125,7.590234375,6.191015625,0.283203125,8.056640625,0.905078125,1.371484375,28.171875,-6.328125,66.796875,123.076313754155,-25.2522453121438,-0.163050321255602,-0.170841775277106,0.580747168258121
5.880078125,0.905078125,2.615234375,1.216015625,5.258203125,3.081640625,5.880078125,6.346484375,15.171875,-51.328125,21.796875,115.334198666261,6.76635491597263,-0.18714249843551,-0.0849046984232836,0.442626276898897
3.392578125,3.392578125,5.102734375,3.703515625,2.770703125,0.594140625,3.392578125,8.833984375,8.671875,-28.828125,44.296875,90.5439767764605,-1.70349837463339,-0.103564053268184,-0.073825067100437,0.23621768885284
8.367578125,8.367578125,0.127734375,8.678515625,7.745703125,5.569140625,8.367578125,3.858984375,21.671875,-73.828125,89.296875,96.1136079596453,0.0456028928455826,-0.144392549552313,-0.0269315970812551,0.238607462299869
2.148828125,2.148828125,1.371484375,4.947265625,6.501953125,9.300390625,4.636328125,2.615234375,5.421875,-62.578125,10.546875,104.212631338096,8.95530326955868,-0.161624951106073,-0.0627735936328461,0.329809958655132
7.123828125,7.123828125,6.346484375,9.922265625,1.526953125,4.325390625,9.611328125,7.590234375,18.421875,-17.578125,55.546875,89.6315195933857,-3.86503402393609,-0.106192656251159,-0.0561390001675961,0.212579384755342
4.636328125,9.611328125,3.858984375,7.434765625,8.989453125,1.837890625,2.148828125,5.102734375,24.921875,-85.078125,78.046875,101.918835312233,1.02552745197804,-0.156987747734968,-0.0466003884144599,0.29767258410603
9.611328125,4.636328125,8.833984375,2.459765625,4.014453125,6.812890625,7.123828125,0.127734375,11.921875,-40.078125,33.046875,80.6268414882272,1.40491371558532,-0.0745466760405846,-0.032535220906233,0.126150825160164
0.594140625,9.300390625,1.060546875,9.611328125,3.081640625,5.880078125,6.191015625,9.766796875,7.859375,-42.890625,75.234375,108.948932733094,1.72476933959469,-0.160217374252171,-0.0924957652940593,0.39136851190709
5.569140625,4.325390625,6.035546875,4.636328125,8.056640625,0.905078125,1.216015625,4.791796875,20.859375,-87.890625,30.234375,106.284958535803,6.34757996288987,-0.166445134259319,-0.0634871538657995,0.346873719810298
3.081640625,1.837890625,3.548046875,2.148828125,0.594140625,3.392578125,8.678515625,2.304296875,27.359375,-20.390625,7.734375,151.611875558535,16.3877856628992,-0.22048403369345,-0.193770757439915,0.875297236091224
8.056640625,6.812890625,8.523046875,7.123828125,5.569140625,8.367578125,3.703515625,7.279296875,14.359375,-65.390625,52.734375,85.4263399119455,1.43471970665465,-0.0990409125877567,-0.0321105599555436,0.163381556544875
1.837890625,3.081640625,9.766796875,0.905078125,9.300390625,7.123828125,9.922265625,6.035546875,24.109375,-76.640625,41.484375,135.562907050278,12.3551944172021,-0.212493273640975,-0.139776426202072,0.673382041698151
6.812890625,8.056640625,4.791796875,5.880078125,4.325390625,2.148828125,4.947265625,1.060546875,11.109375,-31.640625,86.484375,84.5160914792718,-1.70297118292839,-0.0956362854768032,-0.0272660248274678,0.151927050979392
4.325390625,5.569140625,7.279296875,8.367578125,6.812890625,4.636328125,7.434765625,3.548046875,4.609375,-54.140625,63.984375,76.3721286296524,-0.0508195062353503,-0.0564416444733324,-0.020593880292628,0.0867345022115306
9.300390625,0.594140625,2.304296875,3.392578125,1.837890625,9.611328125,2.459765625,8.523046875,17.609375,-9.140625,18.984375,101.064315493631,-0.797781462426007,-0.148043820920287,-0.0666549841595222,0.313432119488781
1.216015625,1.216015625,6.657421875,6.501953125,4.947265625,5.258203125,9.300390625,4.169921875,28.984375,-71.015625,69.609375,135.054779905673,8.1576669432267,-0.205044237962811,-0.153952605315374,0.693113204202999
6.191015625,6.191015625,1.682421875,1.526953125,9.922265625,0.283203125,4.325390625,9.144921875,15.984375,-26.015625,24.609375,96.9548472136953,0.556951251207655,-0.141236559596204,-0.0438197969904262,0.258308645505297
3.703515625,8.678515625,9.144921875,4.014453125,2.459765625,2.770703125,6.812890625,6.657421875,9.484375,-48.515625,2.109375,87.7832304897919,12.4918548277906,-0.101711170527461,-0.0503426819178028,0.186942387755385
8.678515625,3.703515625,4.169921875,8.989453125,7.434765625,7.745703125,1.837890625,1.682421875,22.484375,-3.515625,47.109375,96.7388811510883,-6.23274223033506,-0.129927082576748,-0.0663947530157586,0.275167375157233
2.459765625,7.434765625,2.926171875,2.770703125,8.678515625,6.501953125,5.569140625,0.438671875,6.234375,-37.265625,35.859375,89.243294027401,1.35824788246547,-0.105827894670917,-0.0549196422829728,0.207977140250861
7.434765625,2.459765625,7.901171875,7.745703125,3.703515625,1.526953125,0.594140625,5.413671875,19.234375,-82.265625,80.859375,97.5088447066217,1.49755139490971,-0.143603693932228,-0.049080564865573,0.272315392404609
4.947265625,4.947265625,0.438671875,5.258203125,6.191015625,4.014453125,8.056640625,7.901171875,25.734375,-14.765625,58.359375,116.469032979313,-0.70389693992856,-0.192404283885984,-0.0687279736293875,0.431924634554081
9.922265625,9.922265625,5.413671875,0.283203125,1.216015625,8.989453125,3.081640625,2.926171875,12.734375,-59.765625,13.359375,82.517182107849,3.12751360983958,-0.0894357052862243,-0.0198248066848068,0.130966728947429
0.0888671875,9.9611328125,3.1205078125,5.7634765625,5.5302734375,3.5091796875,6.7740234375,1.7212890625,4.9140625,-81.2109375,40.4296875,112.963987018186,11.7336569293137,-0.162528456751821,-0.114330332335234,0.441489504549618
5.0638671875,4.9861328125,8.0955078125,0.7884765625,0.5552734375,8.4841796875,1.7990234375,6.6962890625,17.9140625,-36.2109375,85.4296875,97.7337849832823,-3.79416951266671,-0.137773598466443,-0.059995289355678,0.280061554517104
2.5763671875,2.4986328125,0.6330078125,3.2759765625,8.0177734375,5.9966796875,9.2615234375,9.1837890625,24.4140625,-58.7109375,62.9296875,158.420156089011,4.07301308913976,-0.253650813888651,-0.13615157452279,0.852621587718412
